a_id;x_accel;y_accel;z_accel;timestamp
1;366;392;664;1466935993.1114752
1;333;386;586;1466935993.1319702
1;338;376;556;1466935993.1523676
1;426;416;514;1466935993.1726546
1;488;438;482;1466935993.1930816
1;494;456;484;1466935993.2135718
1;472;490;518;1466935993.2339973
1;530;568;546;1466935993.2541769
1;696;688;582;1466935993.2742198
1;696;688;582;1466935993.2945712
1;828;752;524;1466935993.315019
1;920;832;272;1466935993.335297
1;575;920;480;1466935993.3554637
1;104;612;752;1466935993.3759136
1;104;104;588;1466935993.396314
1;219;670;680;1466935993.4169362
1;643;568;572;1466935993.437362
1;919;628;486;1466935993.4574842
1;920;692;372;1466935993.4777908
1;625;696;528;1466935993.4980166
1;104;238;730;1466935993.5191064
1;104;350;544;1466935993.5392003
1;344;560;602;1466935993.559244
1;818;620;594;1466935993.579425
1;920;582;424;1466935993.5997193
1;761;614;368;1466935993.620082
1;110;264;668;1466935993.6403952
1;104;242;572;1466935993.66083
1;258;492;614;1466935993.681396
1;612;584;568;1466935993.7015746
1;919;638;492;1466935993.7222466
1;920;660;354;1466935993.7428534
1;783;666;424;1466935993.7637725
1;153;340;596;1466935993.7841296
1;104;218;518;1466935993.8042881
1;349;474;638;1466935993.8257012
1;871;692;616;1466935993.8459387
1;920;708;376;1466935993.8665018
1;796;918;470;1466935993.8870904
1;119;626;812;1466935993.9078512
1;104;104;472;1466935993.9284244
1;104;454;440;1466935993.9488702
1;361;650;590;1466935993.9692304
1;918;688;588;1466935993.9892821
1;920;724;434;1466935994.009602
1;649;690;490;1466935994.0299668
1;104;216;634;1466935994.0503285
1;104;190;390;1466935994.0706036
1;182;500;552;1466935994.091063
1;606;630;618;1466935994.1115897
1;920;722;568;1466935994.1322167
1;920;764;354;1466935994.1527398
1;555;780;562;1466935994.173292
1;104;190;710;1466935994.193653
1;104;238;430;1466935994.2140872
1;353;556;632;1466935994.2343125
1;811;676;584;1466935994.2544186
1;920;662;432;1466935994.2745605
1;920;852;376;1466935994.2958705
1;367;848;702;1466935994.3163695
1;104;104;652;1466935994.3369997
1;104;368;368;1466935994.357687
1;363;620;608;1466935994.3784397
1;747;650;620;1466935994.399149
1;920;714;444;1466935994.4192736
1;873;900;416;1466935994.4396102
1;105;444;790;1466935994.459979
1;104;104;394;1466935994.4803436
1;104;468;536;1466935994.50079
1;479;654;580;1466935994.5212982
1;902;708;604;1466935994.5417771
1;920;706;406;1466935994.5623016
1;788;834;440;1466935994.582684
1;106;442;832;1466935994.6029851
1;104;104;430;1466935994.623579
1;104;520;494;1466935994.6441078
1;606;676;614;1466935994.6643045
1;919;724;550;1466935994.6845121
1;920;766;334;1466935994.704863
1;703;908;544;1466935994.7251205
1;104;324;834;1466935994.745535
1;104;120;350;1466935994.7658398
1;162;550;604;1466935994.786525
1;592;666;632;1466935994.8069715
1;920;672;552;1466935994.8273077
1;920;746;316;1466935994.8478012
1;640;850;588;1466935994.868575
1;104;232;812;1466935994.8893507
1;104;312;360;1466935994.9096515
1;289;646;612;1466935994.9300156
1;761;678;718;1466935994.9503572
1;920;654;414;1466935994.9706626
1;919;800;304;1466935994.9911757
1;393;816;746;1466935995.0114226
1;104;104;702;1466935995.032055
1;104;400;370;1466935995.0529366
1;387;676;632;1466935995.0739348
1;855;746;614;1466935995.0942194
1;920;726;302;1466935995.1143596
1;840;918;450;1466935995.1345627
1;104;446;918;1466935995.1549695
1;104;106;390;1466935995.1753726
1;215;554;612;1466935995.1964006
1;616;630;592;1466935995.2169976
1;919;650;526;1466935995.2374876
1;920;738;328;1466935995.2580023
1;694;906;582;1466935995.2783532
1;104;196;774;1466935995.2987552
1;104;178;406;1466935995.319554
1;318;618;614;1466935995.3399293
1;678;636;644;1466935995.3603008
1;920;676;406;1466935995.3806071
1;920;804;298;1466935995.4010887
1;635;920;676;1466935995.421395
1;104;140;772;1466935995.4416885
1;104;246;328;1466935995.4623432
1;290;610;648;1466935995.4825883
1;667;634;644;1466935995.502888
1;919;664;486;1466935995.523573
1;920;710;310;1466935995.5442448
1;404;742;692;1466935995.5642955
1;104;106;592;1466935995.584425
1;104;104;482;1466935995.6048057
1;334;594;598;1466935995.6249816
1;704;612;668;1466935995.6453
1;920;658;446;1466935995.6657467
1;920;750;366;1466935995.6862292
1;592;886;662;1466935995.7065623
1;104;140;744;1466935995.7271338
1;104;288;374;1466935995.747699
1;351;544;644;1466935995.767888
1;660;598;576;1466935995.7882273
1;920;638;444;1466935995.8086817
1;920;716;340;1466935995.829105
1;708;920;610;1466935995.8497796
1;104;106;622;1466935995.8702078
1;104;316;306;1466935995.8904178
1;359;560;592;1466935995.9108748
1;624;574;602;1466935995.9312654
1;919;598;440;1466935995.9518714
1;920;730;384;1466935995.97221
1;517;800;702;1466935995.9925308
1;104;116;708;1466935996.0128076
1;104;288;342;1466935996.033738
1;325;622;586;1466935996.0541089
1;718;620;670;1466935996.075243
1;920;630;406;1466935996.0956554
1;920;732;338;1466935996.116106
1;591;826;642;1466935996.1365988
1;104;220;780;1466935996.157195
1;104;186;354;1466935996.1774416
1;275;608;612;1466935996.1978076
1;673;646;616;1466935996.2183244
1;920;632;434;1466935996.23865
1;920;722;300;1466935996.2591166
1;665;884;584;1466935996.2793
1;104;108;726;1466935996.2994409
1;104;356;390;1466935996.3195934
1;400;592;606;1466935996.3398745
1;698;598;606;1466935996.3602538
1;920;602;470;1466935996.3805044
1;920;696;342;1466935996.4009738
1;393;630;674;1466935996.4214
1;104;142;658;1466935996.4418
